ρ,α,tmax,difference
0,0.75,170,0.434748
0.75,0.75,170,0.615957
0,0.25,170,0.617162
1,0,170,0.617477
0.5,0,170,0.628178
0,1,170,0.646874
0.25,0,170,0.68808
0.75,0,170,0.738272
0,0,170,0.82808
0.25,1,170,0.939606
1,0.25,170,0.988721
1,0.5,170,1.27112
0.5,1,170,1.37414
1,0.75,170,1.40456
0.75,1,170,1.54537
1,1,170,1.96889
0.25,0.75,160,0.132024
0.5,0.5,160,0.141622
0.75,0.5,160,0.162321
0.25,0.5,160,0.193537
0.75,0.25,160,0.221822
0.5,0.25,160,0.314539
0.5,0.75,160,0.372833
0,0.75,160,0.474757
0.75,0.75,160,0.595655
0.25,0.25,160,0.615469
0,0.5,160,0.655763
0,1,160,0.687389
0,0.25,160,0.716163
1,0,160,0.747685
0,0,160,0.807991
0.25,0,160,0.807993
0.5,0,160,0.817786
0.75,0,160,0.827184
1,0.25,160,0.872113
0.25,1,160,0.960602
1,0.5,160,1.11173
0.5,1,160,1.41382
1,0.75,160,1.45595
0.75,1,160,1.53738
1,1,160,1.88909
0.5,0.5,150,0.162224
0.75,0.25,150,0.182231
0.25,0.75,150,0.202424
0.75,0.5,150,0.23213
0.5,0.75,150,0.283337
0.25,0.5,150,0.353734
0.5,0.25,150,0.453853
0,0.75,150,0.475655
0.25,0.25,150,0.54686
0.75,0.75,150,0.565469
0,0.5,150,0.57627
0,0.25,150,0.616273
0.75,0,150,0.718392
0,1,150,0.738894
1,0,150,0.768489
0.5,0,150,0.778594
0,0,150,0.799097
0.25,0,150,0.799301
0.25,1,150,1.0602
1,0.5,150,1.17303
1,0.25,150,1.21131
0.5,1,150,1.38246
1,0.75,150,1.59498
0.75,1,150,1.73828
1,1,150,1.90881
0.75,0.5,140,0.213025
0.5,0.5,140,0.222425
0.75,0.25,140,0.223141
0.25,0.75,140,0.242425
0.5,0.75,140,0.333748
0.25,0.5,140,0.373441
0.5,0.25,140,0.38527
0.75,0.75,140,0.546868
0,0.75,140,0.56546
0,0.5,140,0.626966
0,0.25,140,0.627283
